epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,116.937,0.35073,0.26735,0.51018,0.81096,0.99859,1,0.995,0.97219,0.99859,1,0.995,0.98317,0.28405,0.238,0.31537,0.77679,0.0013862,0.0013862,0.0013862
33,120.282,0.37425,0.26031,0.52926,0.81991,0.9986,1,0.995,0.96027,0.9986,1,0.995,0.97852,0.29873,0.24109,0.2993,0.77922,0.0013664,0.0013664,0.0013664
34,123.628,0.33914,0.23043,0.47455,0.80452,0.99853,1,0.995,0.97865,0.99853,1,0.995,0.97932,0.2921,0.25251,0.28991,0.78032,0.0013466,0.0013466,0.0013466
35,127.096,0.33293,0.22546,0.47273,0.82529,0.99861,1,0.995,0.95747,0.99861,1,0.995,0.98964,0.3016,0.2104,0.2699,0.77951,0.0013268,0.0013268,0.0013268
36,130.584,0.32512,0.23961,0.45969,0.79934,0.99873,1,0.995,0.95869,0.99873,1,0.995,0.98947,0.27249,0.22385,0.25264,0.77548,0.001307,0.001307,0.001307
37,133.932,0.3362,0.23484,0.45427,0.81608,0.99877,1,0.995,0.94767,0.99877,1,0.995,0.995,0.32223,0.21934,0.26229,0.78074,0.0012872,0.0012872,0.0012872
38,137.256,0.32009,0.2504,0.43066,0.79923,0.99872,1,0.995,0.96005,0.99872,1,0.995,0.99135,0.2658,0.22896,0.25707,0.77841,0.0012674,0.0012674,0.0012674
39,140.555,0.31232,0.24108,0.436,0.80771,0.99872,1,0.995,0.97085,0.99872,1,0.995,0.99204,0.24937,0.22346,0.23244,0.7732,0.0012476,0.0012476,0.0012476
40,143.848,0.29761,0.23754,0.41251,0.7857,0.9987,1,0.995,0.98339,0.9987,1,0.995,0.995,0.23711,0.2085,0.22488,0.77359,0.0012278,0.0012278,0.0012278
41,147.325,0.32431,0.23991,0.41732,0.81025,0.95389,1,0.995,0.96531,0.95389,1,0.995,0.995,0.27317,0.2156,0.32798,0.78151,0.001208,0.001208,0.001208
